标题,链接,摘要
白酒有什么好喝的呢？,http://zhuanlan.zhihu.com/p/25433195,我少时便不爱白酒。啤酒清冽，爽口解渴；黄酒醇甜，温润沉厚。白酒有什么好喝呢？我故乡规矩，乡间宴会，每桌发一瓶白酒。女眷不喝爷们喝。江南酒鬼汉子，酒量再大，也不敢愣喝：小杯小盏，倒了白酒，滋溜一口，皱眉眯眼，满脸痛并快乐着，彼此照杯底：“干…
你上次被人称呼“同志”，是什么时候了？,http://zhuanlan.zhihu.com/p/53075603,12月10日午后，我坐北京到无锡的高铁商务座，回家去。邻座有位白寸头穿军大衣的老人。大概是儿女买的票，他对车上的许多细节不大懂，用方言问列车员：这个按钮是干什么的？这个垫子是用来干啥的？如此云云。商务座为图安静，列车员惯常不在车厢里，有事打招…
周立波这个人，真真作孽啊,http://zhuanlan.zhihu.com/p/24971663,今天知道周立波先生在美国被捕、查出了枪支和毒品的事后，我第一时间，脑补出了以下景象：在上海某片天空下的关栋天老师，偶然扫过今天的新闻，目光在某演员涉嫌吸毒的字样上停留片刻，摇了摇头，叹了口气，嘴角勾出丝苦笑，道：个只赤佬……（若换个性格刻…
跟你们明星大爷不同，我们凡人活下去就竭尽全力了,http://zhuanlan.zhihu.com/p/34984389,在NBA，有一些名字如雷贯耳，几乎可以传到火星。在本星球上，甚至一些不懂英语的人，也能对这名字念念有词。但也有这么一群人：他们效力于某支球队，但他们可以不戴墨镜走在离主场球馆100米远的大街上，无人围观索要签名。不看球的老奶奶听到他的名字，会好…
金庸先生逝世了，为什么我们会如此难过,http://zhuanlan.zhihu.com/p/48152024,金庸先生仙逝了。94岁。为什么我们会这么难过呢？ 94岁，按说算喜丧。当年小昭在地道里跟张无忌唱：“到头这一身，难逃那一日。受用了一朝，一朝便宜。百岁光阴，七十者稀。急急流年，滔滔逝水。”七十者稀啊。无崖子九十三岁，童姥九十六岁。 论作品，到19…
作为NBA球迷，得做好心理准备了,http://zhuanlan.zhihu.com/p/85531907,我没记错的话，国内最后一次看不到NBA转播，是1998-99季缩水赛季。那年圣安东尼奥马刺的夺冠历程，我是靠报纸、杂志和后来补录像带了解的。 在那之前，我看了几年的NBA直播。有些是CCTV，有些来自广东台。那会儿看球很不易，学生，往往周末才看得上一场完整…
喝咖啡真比吃大蒜高雅洋气么？,http://zhuanlan.zhihu.com/p/25890847,我国有位颇为洋气、甚讲派头的演员，曾如此划分人群：吃大蒜的，喝咖啡的。 这位先生自居喝咖啡的一族，对吃大蒜的，似乎无甚好感；大约他先生洋气得很，会觉得大蒜与咖啡，应该泾渭分明，道不同不相与谋。 话说，地中海沿岸的欧洲人，尤其是现代法国人听了…
哪有酒后乱性？都是酒壮人胆才露本性,http://zhuanlan.zhihu.com/p/25768069,“压根就没有酒醉乱性这事，都是借口。喝醉了，要么想吐，要么想睡。还乱性？眼睛都睁不开，哪来力气乱性？酒后就是，有胆子了，心里喜欢的人，心里喜欢的事，敢说了，敢做了，自己也就明白了。” 说完这段话，他将杯子朝我顿了顿，晃了晃脑袋。 姑且叫他热…
让陶崇园死得不明不白的，到底是什么？,http://zhuanlan.zhihu.com/p/35329586,今天是清明节。谨此，向武汉已故的陶崇园表哀悼之情。——打上面这行字时，本想打“陶崇园同学”，再一想，大概他临终时最绝望的，便是无法摆脱<b>学生</b>这个身份吧？ 毕竟，有这个身份在一天，那位老师就未必放得过他。从何时起，学生这个身份，如此卑微了呢？ …
出走半生，关山万里，归来仍是少女心气,http://zhuanlan.zhihu.com/p/31621175,一个故事，不同讲法。我少时学《木兰辞》时，多赞美木兰代父从军，是为<b>孝顺</b>；保家卫国，是为<b>精忠</b>。美国人当年拍《花木兰》动画片，却重在男女平等，重在女性自立；最妙的情节，便是让木兰的同僚化妆成后宫宫女，解救天子。这是一个很好的冷幽默。但我别有一…
村上春树、南京大屠杀与他一贯的立场,http://zhuanlan.zhihu.com/p/25598825,村上春树新小说《骑士团长杀人事件》，写到了<b>“南京大屠杀40万人遇害”</b>。当然只是小说。但光是提到这件事，已经够让日本右翼惊怒了。 国内也当新闻在登。除了感慨他有良知外，我还是看到了许多诧异的反应：“他不是写跑步写酒吧写小资情调小黄书的吗？” —…
球员居然敢有文身？是不是得管一管了？？,http://zhuanlan.zhihu.com/p/34925862,文身疼吗？非常疼。一针一指，把图案刻进肌肤，永不消退，成为身体的一部分。过程并不容易。在肚子上的一个纹身也曾让人疼痛不已，但JR史密斯却觉得，文身很过瘾。第一个纹身？16岁，蓝色的，自己扣篮的画像。他在每场比赛前，会吻自己的前臂纹身，抚摸小腿…
多少人默默当着狗，就为了最后可以像个人那么活着？,http://zhuanlan.zhihu.com/p/32130103,两年前，即，马特·巴恩斯35岁时，他说，自己是条狗。当然，英语里狗的意思，与中文里不大同。但巴恩斯就是如此自我定位：“去他妈的人情。”那时他在洛杉矶，之后两年，他还要换三个球队。一辈子到处流浪。 他说NBA有两种世界。一种是科比与勒布朗的世界：…
我们所知的数据，有多少是真实的呢？,http://zhuanlan.zhihu.com/p/104608826,“支持您的人有98%！”“不，支持您的人只有5%！”任何正常人听到这组对比，都会吓死吧？ 上面这个故事，出于《寡头》。据说是1996年春天的事：叶利钦先生自信满满，预备参选总统。他身边的人都告诉他：您有98%的支持率呢，全俄人民爱戴您。但当时掌握大俄…
你饿不饿？给你煎个蛋好不好？,http://zhuanlan.zhihu.com/p/41757947,在法国待久了，容易咬文嚼字。比如，早餐时，我在厨房，问楼上：“我煎个蛋？”楼上便会反问：“Omelette 还是荷包蛋？”敢情，煎蛋还得细分么？这两个词，都可以是煎蛋，还都是早上就能吃的。荷包蛋本身不奇：热锅下油，敲蛋下锅，等蛋凝固，嫩白软黄，世…
33岁零3天的克里斯·保罗，扼住了一向虐待他的命运,http://zhuanlan.zhihu.com/p/36634527,勇士与鹈鹕的第五场，本来克雷第二节便要终结鹈鹕了：打三分外加追身急停中投拉开7分，分差朝两位数走，但霍乐迪靠强突拼死追了回来。库里和杜兰特三个让人绝望的投篮拉开11分，戴维斯依靠面筐突破，又将分差拉了回来；朗多组织了两个漂亮的挡切，鹈鹕甚至…
