company,job_name,requirements,workplace
"
乐有家
",坪山电话客服4.5K底薪加绩效包住,高中以上 | 应届毕业生 | 全职 | 1-1.5万/月,深圳
"
乐有家
",新手优先营销人员,初中以上 | 应届毕业生 | 全职 | 3-8千/月,江门
"
乐有家
",诚招应届毕业生 实习生,应届毕业生 | 实习 | 3.5-8千/月,江门
"
乐有家
",高收入的项目要不要了解一下,应届毕业生 | 全职 | 4.5-9千/月,江门
"
乐有家
",大学生营销管培生,大专以上 | 全职 | 7000-13000元,深圳
"
乐有家
",销售实习生,大专以上 | 应届毕业生 | 实习 | 230元/天,深圳
"
乐有家
",新塘营销专员+退休军人绿色通道,高中以上 | 全职 | 6-8千/月,广州
"
乐有家
",三乐路招聘,全职 | 6-8千/月,佛山
"
乐有家
",丽日豪庭招聘,全职 | 6-8千/月,佛山
"
乐有家
",花卉世界附近有笋工介绍,全职 | 6-8千/月,佛山
"
乐有家
",龙岗诚招销售管培生 永不裁员 永不降薪,大专以上 | 2年经验 | 全职 | 6-8千/月,深圳
"
乐有家
",高晋升储备干部 无责4K,全职 | 4-9千/月,珠海
"
乐有家
",旅游餐饮业就业难 乐有家欢迎您,大专以上 | 1年经验 | 全职 | 6-8千/月,深圳
"
乐有家
",朝九晚六,全职 | 4-8千/月,珠海
"
乐有家
",销售代表4K起,初中以上 | 应届毕业生 | 全职 | 4.5-6千/月,广州
"
京东
",华中区工程负责人,本科以上 | 10年以上 | 全职 | 42.0-63.0万元,武汉
"
京东
",采购支持岗-荣耀手机,本科以上 | 2年以上 | 全职,北京
"
京东
",项目管理岗-NPS方向,本科以上 | 2年以上 | 全职,北京
"
京东
",销售经理,本科以上 | 8年以上 | 全职 | 42.0-70.0万元,深圳
"
京东
",O2O平台运营,大专以上 | 5年以上 | 全职 | 8.4-10.8万元,长春
"
京东
",用户研究,本科以上 | 全职,北京
"
京东
",汽车后市场部-客户销售经理岗,大专以上 | 1年以上 | 全职 | 7.2-9.6万元,菏泽
"
京东
",财务业务架构师,本科以上 | 8年以上 | 全职 | 36.0-60.0万元,北京
"
京东
",客户端架构师,本科以上 | 8年以上 | 全职 | 84.0-112.0万元,北京
"
京东
",药企服务部负责人,大专以上 | 5年以上 | 全职 | 24.0-36.0万元,北京
"
京东
",风控主管,本科以上 | 3年以上 | 全职 | 18.0-31.2万元,北京
"
京东
",营销策划,大专以上 | 全职 | 14.0-28.0万元,北京
"
京东
",采销经理-鞋靴方向,本科以上 | 5年以上 | 全职 | 21.0-32.2万元,北京
"
京东
",KA方案实施部-跨区协调管理岗,大专以上 | 7年以上 | 全职,北京
"
京东
",叉车司机,初中以上 | 1年经验 | 全职 | 5-7千/月,广州
"
美团，新美大
",数据分析-门票度假,本科以上 | 5年以上 | 全职,北京
"
美团，新美大
",美团点评销售专员,大专以上 | 全职 | 9.6-15.6万元,北京
"
美团，新美大
",产品经理 高级产品经理,本科以上 | 3-5年 | 全职 | 20000-40000元,北京
"
美团，新美大
",美团平台--产品运营,本科以上 | 3-5年 | 全职 | 15000-30000元,北京
"
美团，新美大
",行政部-北区工程管理,本科以上 | 全职 | 22.5-45.0万元,北京
"
美团，新美大
",WMPS 高级产品经理,本科以上 | 3-5年 | 全职 | 20000-40000元,北京
"
美团，新美大
",美团地图服务部-数据产品经理,本科以上 | 3年以上 | 全职,北京
"
美团，新美大
",运营设计-美团平台,本科以上 | 3-5年 | 全职 | 20000-40000元,北京
"
美团，新美大
",无人机配送中心-软件配置与测试管理专家,本科以上 | 8年以上 | 全职,北京
"
美团，新美大
",美团平台-产品运营,本科以上 | 5年以上 | 全职,北京
"
美团，新美大
",零售AIoT产品专家,本科以上 | 全职 | 37.5-75.0万元,北京
"
美团，新美大
",高级产品运营,本科以上 | 3年以上 | 全职 | 30.0-48.0万元,北京
"
美团，新美大
",交互设计师-上海,本科以上 | 5年以上 | 全职,上海
"
美团，新美大
",快驴事业部-基础产品组-数据产品经理,本科以上 | 4年以上 | 全职,北京
"
美团，新美大
",美团众包站长,本科以上 | 1年以上 | 全职 | 11.7-18.2万元,北京
"
科捷模具
",注塑操作工,初中以上 | 1-2年 | 全职 | 面谈,常州
"
科捷模具
",模具线切割加工操作,初中以上 | 3-5年 | 全职 | 面谈,常州
"
科捷模具
",模具电脉冲加工操作,初中以上 | 3-5年 | 全职 | 面谈,常州
"
科捷模具
",精密塑料模具工,初中以上 | 3-5年 | 全职 | 面谈,无锡
"
科捷模具
",注塑质检,初中以上 | 3-5年 | 全职 | 面谈,常州
