食物种类,食物名,热量,食物详情页面链接
"谷薯芋、杂豆、主食
  ",Easy Fun 营养粉丝（香菇炖鸡),热量：357 大卡(每100克),http://www.boohee.com/shiwu/fda3bd99
"谷薯芋、杂豆、主食
  ",Easy Fun 营养粉丝（牛肉味噌味）,热量：363 大卡(每100克),http://www.boohee.com/shiwu/fdbd0231
"谷薯芋、杂豆、主食
  ",白粥,热量：46 大卡(每100毫升),http://www.boohee.com/shiwu/jingmizhou
"谷薯芋、杂豆、主食
  ",Easy Fun 营养粉丝（番茄鸡蛋),热量：348 大卡(每100克),http://www.boohee.com/shiwu/fd81135c
"谷薯芋、杂豆、主食
  ",Easy S 低脂黑椒牛肉饭,热量：169 大卡(每100克),http://www.boohee.com/shiwu/fda4fea7
"谷薯芋、杂豆、主食
  ",Easy S 法式南瓜汤,热量：313 大卡(每100克),http://www.boohee.com/shiwu/fdd10296
"谷薯芋、杂豆、主食
  ",Easy S 鸡肉松烤麦片,热量：455 大卡(每100克),http://www.boohee.com/shiwu/fda00b8c
"谷薯芋、杂豆、主食
  ",Easy Fun 低脂咖喱鸡饭,热量：179 大卡(每100克),http://www.boohee.com/shiwu/fd87825c
"谷薯芋、杂豆、主食
  ",Easy S 红枣黑米圈,热量：392 大卡(每100克),http://www.boohee.com/shiwu/fdd72323
"谷薯芋、杂豆、主食
  ",Easy Fun 抹茶红豆麦片,热量：381 大卡(每100克),http://www.boohee.com/shiwu/fd1f7c6f
"谷薯芋、杂豆、主食
  ",Easy S 蛋白棒（英式红茶味）,热量：424 大卡(每100克),http://www.boohee.com/shiwu/fdd00048
"谷薯芋、杂豆、主食
  ",Easy S 意式阿拉棒,热量：396 大卡(每100克),http://www.boohee.com/shiwu/fd7078a2
"谷薯芋、杂豆、主食
  ",Easy Fun 高蛋白微波蛋糕预拌粉（香浓可可味）,热量：389 大卡(每100克),http://www.boohee.com/shiwu/fd42eab7
"谷薯芋、杂豆、主食
  ",Easy Fun 红枣黑米圈（新包装）,热量：392 大卡(每100克),http://www.boohee.com/shiwu/fd5ad4f9
"谷薯芋、杂豆、主食
  ",Easy Fun 鸡肉松烤麦片,热量：455 大卡(每100克),http://www.boohee.com/shiwu/fdcdee28
"谷薯芋、杂豆、主食
  ",Easy Fun 山药紫薯圈,热量：391 大卡(每100克),http://www.boohee.com/shiwu/fd3ce3a1
"谷薯芋、杂豆、主食
  ",稀饭,热量：59 大卡(每100毫升),http://www.boohee.com/shiwu/xianmizhou
"谷薯芋、杂豆、主食
  ",玉米（鲜）,热量：112 大卡(每100克),http://www.boohee.com/shiwu/yumi_xian
"谷薯芋、杂豆、主食
  ",燕麦片,热量：338 大卡(每100克),http://www.boohee.com/shiwu/yanmaipian
"谷薯芋、杂豆、主食
  ",面条（生）,热量：301 大卡(每100克),http://www.boohee.com/shiwu/miantiao_junzhi
"谷薯芋、杂豆、主食
  ",面条（煮）,热量：110 大卡(每100克),http://www.boohee.com/shiwu/miantiao_fuqiangfen_zhu
"谷薯芋、杂豆、主食
  ",籼米粉,热量：356 大卡(每100克),http://www.boohee.com/shiwu/xianmifen
"谷薯芋、杂豆、主食
  ",面包,热量：313 大卡(每100克),http://www.boohee.com/shiwu/mianbao_junzhi
"谷薯芋、杂豆、主食
  ",红薯,热量：61 大卡(每100克),http://www.boohee.com/shiwu/ganshu_hongxin
"谷薯芋、杂豆、主食
  ",小米粥,热量：46 大卡(每100毫升),http://www.boohee.com/shiwu/xiaomizhou
"谷薯芋、杂豆、主食
  ",马铃薯,热量：81 大卡(每100克),http://www.boohee.com/shiwu/malingshu
"谷薯芋、杂豆、主食
  ",包子（猪肉馅）,热量：227 大卡(每100克),http://www.boohee.com/shiwu/baozi_zhurouxian
"谷薯芋、杂豆、主食
  ",米饭,热量：116 大卡(每100克),http://www.boohee.com/shiwu/mifan_zheng
"谷薯芋、杂豆、主食
  ",Easy Fun 高纤奇亚籽苏打饼干,热量：436 大卡(每100克),http://www.boohee.com/shiwu/fd47b857
"谷薯芋、杂豆、主食
  ",白薯,热量：106 大卡(每100克),http://www.boohee.com/shiwu/ganshu_baixin
"谷薯芋、杂豆、主食
  ",大米,热量：346 大卡(每100克),http://www.boohee.com/shiwu/daomi_junzhi
"谷薯芋、杂豆、主食
  ",全麦面包,热量：246 大卡(每100克),http://www.boohee.com/shiwu/maipeimianbao
"谷薯芋、杂豆、主食
  ",烙饼,热量：259 大卡(每100克),http://www.boohee.com/shiwu/laobing_biaozhunfen
"谷薯芋、杂豆、主食
  ",花卷,热量：214 大卡(每100克),http://www.boohee.com/shiwu/huajuan
"谷薯芋、杂豆、主食
  ",油条,热量：388 大卡(每100克),http://www.boohee.com/shiwu/youtiao
"谷薯芋、杂豆、主食
  ",曼可顿全麦高纤维面包,热量：221 大卡(每100克),http://www.boohee.com/shiwu/mankedunquanmaigaoxianweimianbao2
"谷薯芋、杂豆、主食
  ",嘉顿 生命面包 450g,热量：284 大卡(每100克),http://www.boohee.com/shiwu/shengmingmaibaopaiquanmaiqiepianmianbao
"谷薯芋、杂豆、主食
  ",包子（三鲜馅）,热量：223 大卡(每100克),http://www.boohee.com/shiwu/baozi_sanxianxian
"谷薯芋、杂豆、主食
  ",馒头,热量：223 大卡(每100克),http://www.boohee.com/shiwu/mantou_junzhi
"谷薯芋、杂豆、主食
  ",油饼,热量：403 大卡(每100克),http://www.boohee.com/shiwu/youbing
"谷薯芋、杂豆、主食
  ",Easy Fun 低脂全麦面包,热量：259 大卡(每100克),http://www.boohee.com/shiwu/fd6ac35c
"谷薯芋、杂豆、主食
  ",Easy Fun 紫薯营养粥,热量：319 大卡(每100毫升),http://www.boohee.com/shiwu/fde8f0ff
"谷薯芋、杂豆、主食
  ",单层汉堡（夹肉饼，加调料酱和蔬菜）,热量：256 大卡(每100克),http://www.boohee.com/shiwu/hanbaobao_putongxing_jiaroubing_jiadiaoliaojiangheshucai
