电影名称,评分,推荐语,电影链接
《肖申克的救赎》,9.7分,希望让人自由。,https://movie.douban.com/subject/1292052/
《霸王别姬》,9.6分,风华绝代。,https://movie.douban.com/subject/1291546/
《阿甘正传》,9.5分,一部美国近现代史。,https://movie.douban.com/subject/1292720/
《这个杀手不太冷》,9.4分,怪蜀黍和小萝莉不得不说的故事。,https://movie.douban.com/subject/1295644/
《美丽人生》,9.5分,最美的谎言。,https://movie.douban.com/subject/1292063/
《泰坦尼克号》,9.4分,失去的才是永恒的。 ,https://movie.douban.com/subject/1292722/
《千与千寻》,9.4分,最好的宫崎骏，最好的久石让。 ,https://movie.douban.com/subject/1291561/
《辛德勒的名单》,9.5分,拯救一个人，就是拯救整个世界。,https://movie.douban.com/subject/1295124/
《盗梦空间》,9.3分,诺兰给了我们一场无法盗取的梦。,https://movie.douban.com/subject/3541415/
《忠犬八公的故事》,9.4分,永远都不能忘记你所爱的人。,https://movie.douban.com/subject/3011091/
《海上钢琴师》,9.3分,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,https://movie.douban.com/subject/1292001/
《楚门的世界》,9.3分,如果再也不能见到你，祝你早安，午安，晚安。,https://movie.douban.com/subject/1292064/
《三傻大闹宝莱坞》,9.2分,英俊版憨豆，高情商版谢耳朵。,https://movie.douban.com/subject/3793023/
《机器人总动员》,9.3分,小瓦力，大人生。,https://movie.douban.com/subject/2131459/
《放牛班的春天》,9.3分,天籁一般的童声，是最接近上帝的存在。 ,https://movie.douban.com/subject/1291549/
《星际穿越》,9.3分,爱是一种力量，让我们超越时空感知它的存在。,https://movie.douban.com/subject/1889243/
《大话西游之大圣娶亲》,9.2分,一生所爱。,https://movie.douban.com/subject/1292213/
《熔炉》,9.3分,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,https://movie.douban.com/subject/5912992/
《疯狂动物城》,9.2分,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,https://movie.douban.com/subject/25662329/
《无间道》,9.2分,香港电影史上永不过时的杰作。,https://movie.douban.com/subject/1307914/
《龙猫》,9.2分,人人心中都有个龙猫，童年就永远不会消失。,https://movie.douban.com/subject/1291560/
《教父》,9.3分,千万不要记恨你的对手，这样会让你失去理智。,https://movie.douban.com/subject/1291841/
《当幸福来敲门》,9.1分,平民励志片。 ,https://movie.douban.com/subject/1849031/
《怦然心动》,9.1分,真正的幸福是来自内心深处。,https://movie.douban.com/subject/3319755/
《触不可及》,9.2分,满满温情的高雅喜剧。,https://movie.douban.com/subject/6786002/
《蝙蝠侠：黑暗骑士》,9.2分,无尽的黑暗。,https://movie.douban.com/subject/1851857/
《控方证人》,9.6分,比利·怀德满分作品。,https://movie.douban.com/subject/1296141/
《活着》,9.2分,张艺谋最好的电影。,https://movie.douban.com/subject/1292365/
《乱世佳人》,9.3分,Tomorrow is another day.,https://movie.douban.com/subject/1300267/
《寻梦环游记》,9.1分,死亡不是真的逝去，遗忘才是永恒的消亡。,https://movie.douban.com/subject/20495023/
《末代皇帝》,9.2分,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://movie.douban.com/subject/1293172/
《摔跤吧！爸爸》,9.0分,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,https://movie.douban.com/subject/26387939/
《指环王3：王者无敌》,9.2分,史诗的终章。,https://movie.douban.com/subject/1291552/
《何以为家》,9.1分,凝视卑弱生命，用电影改变命运。,https://movie.douban.com/subject/30170448/
《少年派的奇幻漂流》,9.1分,瑰丽壮观、无人能及的冒险之旅。,https://movie.douban.com/subject/1929463/
《飞屋环游记》,9.0分,最后那些最无聊的事情，才是最值得怀念的。 ,https://movie.douban.com/subject/2129039/
《十二怒汉》,9.4分,1957年的理想主义。 ,https://movie.douban.com/subject/1293182/
《鬼子来了》,9.2分,对敌人的仁慈，就是对自己残忍。,https://movie.douban.com/subject/1291858/
《天空之城》,9.1分,对天空的追逐，永不停止。 ,https://movie.douban.com/subject/1291583/
《大话西游之月光宝盒》,9.0分,旷古烁今。,https://movie.douban.com/subject/1299398/
《哈尔的移动城堡》,9.1分,带着心爱的人在天空飞翔。,https://movie.douban.com/subject/1308807/
《素媛》,9.2分,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://movie.douban.com/subject/21937452/
《天堂电影院》,9.2分,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,https://movie.douban.com/subject/1291828/
《罗马假日》,9.0分,爱情哪怕只有一天。,https://movie.douban.com/subject/1293839/
《闻香识女人》,9.1分,史上最美的探戈。,https://movie.douban.com/subject/1298624/
《辩护人》,9.2分,电影的现实意义大过电影本身。,https://movie.douban.com/subject/21937445/
《哈利·波特与魔法石》,9.0分,童话世界的开端。,https://movie.douban.com/subject/1295038/
《搏击俱乐部》,9.0分,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,https://movie.douban.com/subject/1292000/
《我不是药神》,9.0分,对我们国家而言，这样的电影多一部是一部。,https://movie.douban.com/subject/26752088/
《死亡诗社》,9.1分,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://movie.douban.com/subject/1291548/
《教父2》,9.2分,优雅的孤独。,https://movie.douban.com/subject/1299131/
《指环王2：双塔奇兵》,9.1分,承前启后的史诗篇章。,https://movie.douban.com/subject/1291572/
《狮子王》,9.0分,动物版《哈姆雷特》。,https://movie.douban.com/subject/1301753/
《窃听风暴》,9.1分,别样人生。,https://movie.douban.com/subject/1900841/
《大闹天宫》,9.3分,经典之作，历久弥新。,https://movie.douban.com/subject/1418019/
《指环王1：魔戒再现》,9.0分,传说的开始。,https://movie.douban.com/subject/1291571/
《两杆大烟枪》,9.1分,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://movie.douban.com/subject/1293350/
《美丽心灵》,9.0分,爱是一切逻辑和原由。,https://movie.douban.com/subject/1306029/
《饮食男女》,9.1分,人生不能像做菜，把所有的料都准备好了才下锅。,https://movie.douban.com/subject/1291818/
《猫鼠游戏》,9.0分,骗子大师和执著警探的你追我跑故事。 ,https://movie.douban.com/subject/1305487/
《飞越疯人院》,9.1分,自由万岁。,https://movie.douban.com/subject/1292224/
《黑客帝国》,9.0分,视觉革命。,https://movie.douban.com/subject/1291843/
《钢琴家》,9.2分,音乐能化解仇恨。,https://movie.douban.com/subject/1296736/
《V字仇杀队》,8.9分,一张面具背后的理想与革命。,https://movie.douban.com/subject/1309046/
《本杰明·巴顿奇事》,8.9分,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/
《看不见的客人》,8.8分,你以为你以为的就是你以为的。,https://movie.douban.com/subject/26580232/
《让子弹飞》,8.8分,你给我翻译翻译，神马叫做TMD的惊喜。,https://movie.douban.com/subject/3742360/
《西西里的美丽传说》,8.9分,美丽无罪。,https://movie.douban.com/subject/1292402/
《小鞋子》,9.2分,奔跑的孩子是天使。,https://movie.douban.com/subject/1303021/
《拯救大兵瑞恩》,9.0分,美利坚精神输出大片No1.,https://movie.douban.com/subject/1292849/
《情书》,8.9分,暗恋的极致。,https://movie.douban.com/subject/1292220/
《穿条纹睡衣的男孩》,9.1分,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://movie.douban.com/subject/3008247/
《音乐之声》,9.0分,用音乐化解仇恨，让歌声串起美好。,https://movie.douban.com/subject/1294408/
《绿皮书》,8.9分,去除成见，需要勇气。,https://movie.douban.com/subject/27060077/
《美国往事》,9.2分,往事如烟，无处祭奠。,https://movie.douban.com/subject/1292262/
《海蒂和爷爷》,9.2分,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,https://movie.douban.com/subject/25958717/
《致命魔术》,8.9分,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/
《低俗小说》,8.8分,故事的高级讲法。,https://movie.douban.com/subject/1291832/
《七宗罪》,8.8分,警察抓小偷，老鼠玩死猫。,https://movie.douban.com/subject/1292223/
《沉默的羔羊》,8.8分,安东尼·霍普金斯的顶级表演。,https://movie.douban.com/subject/1293544/
《蝴蝶效应》,8.8分,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/
《春光乍泄》,8.9分,爱情纠缠，男女一致。,https://movie.douban.com/subject/1292679/
《禁闭岛》,8.8分,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/
《被嫌弃的松子的一生》,8.9分,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/
《心灵捕手》,8.9分,人生中应该拥有这样的一段豁然开朗。,https://movie.douban.com/subject/1292656/
《布达佩斯大饭店》,8.8分,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/
《阿凡达》,8.7分,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/
《剪刀手爱德华》,8.7分,浪漫忧郁的成人童话。,https://movie.douban.com/subject/1292370/
《勇敢的心》,8.9分,史诗大片的典范。,https://movie.douban.com/subject/1294639/
